Reviews,Summary
"This article explores how within many upscale retail stores, the ideal aesthetic is middle class, white, and conventionally gendered, and how upscale stores draw middle-class workers to low-wage jobs based on appearance. The article then proposes improvements  for workers from diverse backgrounds, challenging stereotypes associated with the brand image to promote inclusivity and equality in the workplace. This is a nuanced dimension of the workplace which is valuable for students to learn.","This article explores how within many upscale retail stores, the ideal aesthetic is middle class, white, and conventionally gendered. The article then proposes improvements for workers from diverse backgrounds, challenging stereotypes associated with the brand image."
"This paper says that when organizations change, it fosters a sense of competetion to stat in the office longer - particularly in male-dominated workplaces it makes people. The paper furthers that this affects women's ability to balance work and home life, and emphasizes that having a mix of genders is important for how well women fit into the organization during these changes.","This paper says that when organizations change, it fosters a sense of competetion to stat in the office longer - particularly in male-dominated workplaces. The paper furthers that this affects women's ability to balance work and home life"
"This article discusses how extreme jobs and the discourse of ‘personal choice’ perpetuate gender inequality by looking at  how the nature of  'extreme work' is influenced by gendered norms of 'ideal workers' contributing to the gendered division of labour, thereby reinforcing gender inequalities. Lecture 9 > Slide 12 titled 'Extreme work as gendered' explores this idea that extreme work is gendered, driven my competitive masculinity, and that women often 'chose' to opt for flexible/part time work instead - shedding light on the inequalities in earning and opportunity for women in the workplace.",This article discusses how extreme jobs and the discourse of ‘personal choice’ perpetuate gender inequality. The nature of 'extreme work' is influenced by gendered norms of 'ideal workers' contributing to the gendered division of labour
"This resource mentions briefly  that research is required on the gendered aspects of the middle management labour process, particularly as work–life imbalance appears increasingly acute - does not discuss this in great details but does make note of this issue.",This resource mentions briefly  that research is required on the gendered aspects of the middle management labour process. It does not discuss this in great details but does make note of this issue.
"This article is about  Elizabeth Holmes, a biotechnology entrepreneur who was convicted of fraud in connection to her blood-testing company, Theranos. The article is discussed in the context of how misogyny around leaders like Holmes reflects how leadership can be gendered in terms of discourse. This isi also  placed in the context of SDG 5: Gender Inequality to get students critically thinking about the gender inequalities within leadership

ALSO convenors commtment to the student progress - encourages students be more critical of western ideas of transformational leadershup - CCS 'Challening Power'","This article is about Elizabeth Holmes, a biotechnology entrepreneur who was convicted of fraud in connection to her blood-testing company, Theranos. The article is discussed in the context of how misogyny around leaders like Holmes reflects how leadership can be"
"This article empowers female students as it highlgihts that statistically, women are more often transformational leaders than men, alongside highlighting the benefits of transformational leadership.","This article empowers female students as it highlgihts that statistically, women are more often transformational leaders than men, alongside highlighting the benefits of transformational leadership."
"This book conducts case studies on men and women across a broad array of cultures to present all facets of leadership, drawing knowledge and insight on leadership from a diverse array of backgrounds and cultures - creating a more inclsuvie and well-rounded account of leadership for students.",This book conducts case studies on men and women across a broad array of cultures to present all facets of leadership. It draws knowledge and insight on leadership from a diverse array of backgrounds and cultures.
"Lecture 10 > Slide 17 points out that there are non western critiques and alternative leadership theories that will help students think about leadership differently. This article is one of these:  promoting diversity by emphasizing the value of Indigenous leadership. It highlights the unique perspectives and practices of Indigenous leaders, advocating for their integration into mainstream leadership to create a more inclusive and culturally diverse understanding of leadership - as well as challenging western forms of knowledge and strategy.",This article highlights the unique perspectives and practices of Indigenous leaders. It advocates for their integration into mainstream leadership to create a more inclusive and culturally diverse understanding of leadership.
Lecture 10 > Slide 17 points out that there are non western critiques and alternative leadership theories that will help students think about leadership differently. This article is one of these: that reports on a postcolonial and anti-colonial reading of representations of ‘African’ leadership and management in organization studies. The article tensions and contradictions between stereotypical colonial images of ‘African’ leadership and management and proposes counter-images that often reflect the excesses of cultural relativism.,This article reports on a postcolonial and anti-colonial reading of representations of ‘African’ leadership and management in organization studies. The article tensions and contradictions between stereotypical colonial images and counter-images.
"The student voice is prompted and promoted through module evaluations, student representatives, termly student voice forums on the BUSN3120 Moodle page. The students are prompted to engage with these forums to voice their opinion intermittently within the lecture slides ","The student voice is prompted and promoted through module evaluations, student representatives, termly student voice forums on the BUSN3120 Moodle page. The students are prompted to engage with these forums to voice their opinion intermittently within the lecture"
"Provides generic and further support to aid students with assignments, including FAQ's, video tutorials and feedback - highlighting the convenor's commitment to the student's success","Support for assignments, including FAQ's, video tutorials and feedback. Provides generic and further support to aid students with assignments."
The weekly quizzes and newspaper articles used to supplement the lectures and seminars show the convenor's commitment to student success by supplementing their learning with interactive activities (quizzes) and additional interesting newspaper articles.,The weekly quizzes and newspaper articles used to supplement the lectures and seminars show the convenor's commitment to student success.
"Content warnings added throughout the lecture and seminar materials (i.e, Lecture 2 > Slide 26 > Trigger warning for video of Foxconn workers fleeing  their factories because of the conditions that they were living under, Lecture 4 > Slide 1 > NOTES: Discussions of Abuses of power, the Holocaust, Lecture 7 > Slide 1> NOTES:  Harassment, Substance Abuse, stress and burnout, Seminar 8 > Slide 3 > NOTES: ""You may want to issue a content warning that the seminar will deal with themes of sexual harassment in the workplace"" - enhancing the student experience"," Content warnings added throughout the lecture and seminar materials. ""You may want to issue a content warning that the seminar will deal with themes of sexual harassment in the workplace"" - enhancing student experience."
"One of the graduate attributes is to 'develop global/cultural awareness'.This is an appreciation and awareness of customs, values and traditions around the world which is placed as a central objective for students to achieve within the module. ","One of the graduate attributes is to 'develop global/cultural awareness' This is an appreciation and awareness of customs, values and traditions."
"The module integrates the UN's Sustainable Development Goals 5,8,9,10. Goals 5) Achieve gender equality & female empowerment, 8) Create inclusive and sustained employment & economy and 10) Reduce inequality in and between countries promotes  inclusivity within the module's content/case studies by educating students on equality between genders (goals 5), socio-economic background (goal 8) and between countries (goal 10)","The module integrates the UN's Sustainable Development Goals 5,8,9,10. Goals 5) Achieve gender equality & female empowerment, 8) Create inclusive and sustained employment & economy and 10) Reduce inequality in and between countries."
This slide talks about the benefits of managers in Human Relations Theory and uses images of BME individuals as managers to emhpasize the importance of managers in fostering co-operation and collaboration. This creates positive portrayals of BME individuals in esteemed positions.,This slide talks about the benefits of managers in Human Relations Theory. It uses images of BME individuals as managers to emhpasize the importance of managers.
"Discusses  Google work culture: ""Town halls held by black Googlers and allies, support for transgender workers, and unconscious-bias workshops (­already attended by more than 70% of staff) help foster what employees say is a “safe and inclusive” workplace at this hive of high performers.” but slide 20 asks students to consider how important teamworking is when it’s not clear whether people are equal, discussing exposés that highlight how companies like Google can foster environments of sexism and discrimination. ",Slide 20 asks students to consider how important teamworking is when it's not clear whether people are equal. The slide discusses how companies like Google can foster environments of sexism and discrimination.
"Papers Please by designer Lucas Pope  is a game students can play  to understand the tirelessness of immigration in a simulation of boarder control, but this also sheds light on the difficulties, obstacles and hostility towards immigrants when entering a country. This validates the expereince of studenrs who have experienced difficulties with immigration hostility and  is very educational  useful for students for students who have not had exposure to such issues.","Papers Please by designer Lucas Pope is a game students can play to understand the tirelessness of immigration. It also sheds light on the difficulties, obstacles and hostility towards immigrants when entering a country."
"This slide and the associated article sheds light on how bureacracy can avoid nepotism and favoritism and promote inclusivity, especially for neuro-atypical people with the article about "" How accommodating workers with autism benefits employers"" (click t","This slide and the associated article sheds light on how bureacracy can avoid nepotism and favoritism and promote inclusivity. The article is about "" How accommodating workers with autism benefits employers"""
The convenor has wrriten notes underneath the  diagram which acknolwedges that trying to visualise organisational structures can result in distorted and possibly misogonistic structures - this acknowledgement sheds light on existing inequalities that students are made aware of.,The convenor has wrriten notes underneath the  diagram which acknolwedges that trying to visualise organisational structures can result in distorted and possibly misogonistic structures. This acknowledgement sheds light on existing inequalities that
"Lecture 7 on Culture Management explores the debate between reinforced culture as a means to create a sense of belonging for workers or stripping workers of their individual identities - these themes although not directly related to EDI set the tone on the importance of idenitity, inclusivity and belonging which are important for students to be aware of before joining the workforce.",Lecture 7 on Culture Management explores the debate between reinforced culture as a means to create a sense of belonging for workers or stripping workers of their individual identities. These themes although not directly related to EDI set the tone on the importance
"This slide asks students to relflect on their own culture and compare this to the definition of organizational management and the idea of shared beliefs. This is a great way to enhance the student voice, identity and voice and get them to understand why organizational management may be harmful to individual identity.","This slide asks students to relflect on their own culture and compare this to the definition of organizational management. This is a great way to enhance the student voice, identity and voice."
The notes at the bottom of this slide descibe how the Japanese culture management was adopted by westerners to optimise and achieve the success that Japanese manufacturing had. This acknowledges and appreciates the infleunce of Global South management techniques.,This slide shows how the Japanese culture management was adopted by westerners to optimise and achieve the success that Japanese manufacturing had. This acknowledges and appreciates the infleunce of Global South management techniques.
"Topic 8 > Aesthetic labour > Slider of images and articles explores how employees are exploited for their physical features - including themes of harassment against women in the work place (Hooters), the contradiction of control over women's bodies and the gender pay gap in aviation industry, exploitation of shirtless male employees (Ambercrombie & Fitch) and so on. This highlights the problems associated with aesthetic labour for men and women, and asks students to critically consider if students can link instances of gender discrimination to the UN's Sustainable Development Goal 10: Reduce inequality within and among countries. ",Students asked to critically consider if they can link instances of gender discrimination to the UN's Sustainable Development Goal 10: Reduce inequality.
"This slide expresses that athough companies often claim to use the 'customer-service' driven approach to 'excuse' aesthetic labour (demanding that their employee's look a certain way), there is still a massive gender pay gap between those in customer service roles (mostly women cabin crew) and pilots (mostly men) in Brisith airways.",There is still a massive gender pay gap between those in customer service roles (mostly women) and pilots (mostly men) in Brisith airways.
"This slide delves into  extreme work in global south and the Japanese epidemic around karoshi (work-death) where employees are literally working until they succumb to the adverse health effects of long hours - this sheds light on the nature of extreme work in non-western societies,.",This slide delves into  extreme work in global south and the Japanese epidemic around karoshi (work-death) where employees are literally working until they succumb to the adverse health effects of long hours.
"The reading list currently contains the 2019 version of this book but the 2022 edition has a whole dedicated chapter on EDI including real-life cases with a greater global reach such as entrepreneurs in Sub-Saharan Africa and personality testing in Argentina, as well as a greater range of diverse theorists. 

The convenor has updated this resource to the 2022 version to enhance author diversity and increase the awareness of the importance of EDI to people and organizations for students.

CLICK ON THIS CELL TO ACCESS Organistional Behaviour (2022)
",The 2022 edition has a whole dedicated chapter on EDI. The reading list currently contains the 2019 version of this book. The convenor has updated this resource to the 2022 version.
"This article discusses an array of EDI topics including  power relations, gender roles, sexual identities, and harassment within the workplace within the context of the module content which make it an extremely valuable resource for students to understand the issues of aesthetic labour and ways to tackle said issues. It may be helpful to increase the visibility and importance of this resource by placing it on the Talis main reading list for Topic 8, if the convenor feels it is useful to do so.","This article discusses an array of EDI topics including power relations, gender roles, sexual identities, and harassment within the workplace. It may be helpful to increase the visibility and importance of this resource by placing it on the Talis main reading"
"if relevant, a resource that builds on the discussion of  the gendered aspects of the middle management labour process could be included in the further reading file for interested students.",A resource that builds on the discussion of  the gendered aspects of the middle management labour process could be included in the further reading file for interested students.
"Explore a case study of a BAME women in a leadership role - the struggles that this demographic many encoutner brings diversity and alternative narratives beyond the white female. I.e., Michelle Obama, Bishop Rose (visited UKC)",Case study of a BAME women in a leadership role. Explore the struggles that this demographic many encoutner brings.
"Why this is an additional resource?

This resource is only referenced in the notes section on Lecture 10 > Slide 17 but it is extremely valuable for students to engage and be exposed to non-western material on leadership. Perhaps increasing this resource's visibility by adding it to the actual lecture slide (not notes section), Talis reading list or to a 'Further Readings' folder for Topic 10 could increase the diversity of non-western material, promoting Global South voices within the module

Also potentially increasing the visibility of this resource by adding it to the main lecture page and changing the name to 'foundational reading' or 'key readings' 'related literature' to help indicate the value of this reading - as students often overlook additional reading but it is valuable to engage with alternative and diverse voices - this places importance on this.",This resource is only referenced in the notes section on Lecture 10 > Slide 17. It is extremely valuable for students to engage and be exposed to non-western material on leadership. Perhaps increasing this resource's visibility by adding it to the
"Why this is an additional resource?

This resource is only referenced in the notes section on Lecture 10 > Slide 17 but it is extremely valuable for students to engage and be exposed to non-western material on leadership. Perhaps increasing this resource's visibility by adding it to the actual lecture slide (not notes section), Talis reading list or to a 'Further Readings' folder for Topic 10 could increase the diversity of non-western material, promoting Global South voices within the module

Also potentially increasing the visibility of this resource by adding it to the main lecture page and changing the name to 'foundational reading' or 'key readings' 'related literature' to help indicate the value of this reading - as students often overlook additional reading but it is valuable to engage with alternative and diverse voices - this places importance on this.",This resource is only referenced in the notes section on Lecture 10 > Slide 17. It is extremely valuable for students to engage and be exposed to non-western material on leadership. Perhaps increasing this resource's visibility by adding it to the
"Assessment and Feedback tile > BUSN3120 - Further Essay Guidance > Where can I find appropriate material to cite? Here, mainly global north reputable  journalistic websites are suggested. Perhaps adding some global south websites that the convenor deems appropriate could be suggested to create more diversity in the student's research when writing their essay","Where can I find appropriate material to cite? Here, mainly global north reputable  journalistic websites are suggested. Perhaps adding some global south websites that the convenor deems appropriate could be suggested."
"It may be valuavle to make the content warnings more explicit - add a dedicated slide before discussing the sensitive content incase students are watching the lectures alone and come across upsetting conent

guidelines for students where they can go for further support.",Guidelines for students where they can go for further support. Add a dedicated slide before discussing the sensitive content.
"The notes section of this slide said ""get used to reading business news or staying up to date with reliable journalistic sources – e.g. The Guardian, BBC News, The NY Times, The Washington Post, The Conversation,  The Atlantic, The Financial Times, Harvard Business Review etc. These are all Global North newspaper publishers - if relevant, suggest some Global South publishers to help diversify the platforms students engage with.","The Guardian, BBC News, The NY Times, The Washington Post, The Conversation,  The Atlantic, The Financial Times, Harvard Business Review etc. are all Global North newspaper publishers."
" This lecture discusses Frederick Taylor's idea of scientific management formed after industrial revolution - but is focused on men in the west (global north) - there is alot of discourse and language used describing the working man' -  could there be a section dedicated to women at this time, and other countries in the global south during this period? This could possibly be explored under 'Critical Considerations' on lecture 2, Slide 28 where Taylor's theory is challenged by 'counter-history' theorists.","This lecture discusses Frederick Taylor's idea of scientific management formed after industrial revolution. There is alot of discourse and language used describing the working man. Could there be a section dedicated to women at this time, and other countries in the global south"
 Quote from Max Weber discussing a person in bureacracy uses 'he' to descibe a universal 'person' in authority. This type of language may exclude students who do not use this pronoun from identifying with the material. Consider adjusting the quote to use more inclusive pronouns or make a note to students that this work overlooks diversity in representation,This type of language may exclude students who do not use this pronoun from identifying with the material. Consider adjusting the quote to use more inclusive pronouns or make a note to students that this work overlooks diversity in representation.
"Perhaps make the exercise of prompting students to reflect on their own culture and identity and compare to organizational identity more formally to increase the presence of the student voice/experience/identity in the module.

ASK: does the seminar picture reflect the student cohort for this exercise, are students asked to explicitly talk about their culture?",ASK: Does the seminar picture reflect the student cohort for this exercise? Are students asked to explicitly talk about their culture?
Most of the images in this slideshow depicting 'aesthetic labour' are dominated by white-presenting individuals. Is it relevant for something to be said about the intersection of aesthetic labour and race/ethnicity? A slide dedicated to talking about this and asking students to critically consider the implications of discrimination against appearance for people of colour and the legality of it could be dicussed afteslide 6 on 'Lookism'?,A slide dedicated to talking about the implications of discrimination against appearance for people of colour.
Uses critical social science to explore the role of forensic science in the criminal justice system,Use critical social science to explore the role of forensic science in the criminal justice system.
"Explores the consequences of under-representation of BIPOC students in forensic science at undergraduate level in knowledge production and innovation, explores how professional organisations who report the level of diveristy  in their cirriclum may work tackle issues of diversity representation. Similiar to the work conducted with the Diveristy Mark. Overall a great way to engage students in understanding the issues related to diversity in the foresnic science field, and how this may affect them and their learning. It sets the tone for EDI in education with applications specifically to forensic science. It gives students an idea of the kind of representation that currently exists within their field that they may not have otherwise been aware of. ",Explores consequences of under-representation of BIPOC students in forensic science at undergraduate level. Explores how professional organisations who report the level of diveristy in their cirriclum may work tackle issues of diversity representation.
"As forensic science is one of the few STEM subjects that are predominated taken on by women, this article how other subjects can promote women in STEM, with a focus on outreach to girls at a young age, such as using media to depict more women in STEM. A great and informative read for female students, particularly those in forensic science as it is invaluable for them to understand the social mechanisms that motivate more females to go into forensic science. "," forensic science is one of the few STEM subjects that are predominated taken on by women. How other subjects can promote women in STEM, with a focus on outreach to girls at a young age."
"It is extremely valuable for students to understand that Francis Galton is an important figure in forensic science and fingerprints, and his work is discussed at length within this module  - but as this resource explores, there are negative implications associated with his other ideas - particularly his founding of ""eugenics"" - that is, a process of human reproduction which involved increasing the occurance of 'desirable' characteristics. Galton's ideas on eugenics had underlying racist implications, advocating for Anglo-Saxons as the supposed superior race. After this death, policies motivated by his eugenics idea prompted appalling policies such as the involuntary sterilisation of the supposedly 'feeble-minded' as well as hostile immigration policies. Eugenics also helped set the scene for the Holocaust, and the sterilisation and murdering of homosexuals, convicts, and the mentally ill. It is clear that Galton's idea of eugenics had a major impact racist, homophobic and ableist notions in history, and even sparked a campaign in 2020 at University College London to decolonise the university by renaming their Francis Galton Lecture Theatre in vein of this.  ","Francis Galton is an important figure in forensic science and fingerprints. His ideas on eugenics had underlying racist implications. Eugenics helped set the scene for the Holocaust, and the sterilisation and murdering of homosexuals."
"Discusses how more females are in forensic science more than men, and how female pioneers in forensic science have become role models for female students, surpassing previous male 'trail-blazers' such as Francis Galton and Henry Goddard.","Female pioneers in forensic science have become role models for female students, surpassing previous male 'trail-blazers' such as Francis Galton and Henry Goddard."
"Explores the privacy risks of using genetic datasets for forensic investigations, weighs out its benefits and social risks. May be interesting to students as optional reading.",This article is optional reading for students. Explores the privacy risks of using genetic datasets for forensic investigations. Also weighs out its benefits and social risks.
"Through the lens of various LGBTQ+ individuals in science academia, this article explores how this community can feel seen within their learning, including creating more LGBTQ+ role models, support networks and pronoun use within student learning. This is a great article for informing teaching style and content within science faculty. There are small steps convenors can take towards creating an inclusive space, such as including  pronouns in their correspondence with students, and acknowleding non-binary versions on topics such as DNA (see the reccomendation to use words such as 'biologically' male/female reccomended in the main review). ","This is a great article for informing teaching style and content within science faculty. There are small steps convenors can take towards creating an inclusive space, such as including  pronouns in their correspondence with students."
"Reccomends steps towards encouraging black and asian minority students to pursue STEM through all stages of their education and career, with a focus on educational institutions diversifying the candidates eligible for STEM  grants and schemes",Reccomends steps towards encouraging black and asian minority students to pursue STEM through all stages of their education and career.
"Explains the obstacles global south authors face to get their work published, including a lack of funding, resources, English as a foreign language and low opportunity for knowledge exchange. Also discusses a shift for academics to see their work not being published as not solely their fault, but these other, external factors that usually put global north authors at an advantage in getting their work published. The article also talks about knowledge exchange in terms of the global south, and how authors here may have insights that can inspire academia which are lacking from global north authors - the article looks at the example of ecology, and how many global south authors have a better understanding of ecological life and various solutions to ecological factors such as fishing. This helps students understand the value in their narratives as minorities, and the unqiue contributions they may have to forensic science.","Global south authors face a lack of funding, resources, English as a foreign language and low opportunity for knowledge exchange. Also discusses a shift for academics to see their work not being published as not solely their fault."
"The Journals Online Project is a project aimed at prompting visbility and accessiblity of journals published in developing countries. This resource is a great way to include more global south authors and publishers, it might be an idea to find one or two actual journals from this resources- this way students will have direct access to more global south resources. ",The Journals Online Project is a project aimed at prompting visbility and accessiblity of journals published in developing countries. This resource is a great way to include more global south authors and publishers. It might be an idea to find one
"Discusses how diversity in forensic science can  drive innovation, problem-solving, and competitiveness more than homogeneous cohorts. Also how to promote diversity and inclusion: a) through assessment of the effects of more diversity, b)increase engagement and outreach to a diverse range of students  c)sustainablity via programs which encourage diverse students to stay in forensic science. Additionally. Dr. Iris R. Wagstaff is a chemist, educator, mentor, researcher and science policy advisor. She currently serves as a STEM Program Director in the Diversity, Equity, and Inclusion Department of AAAS where she manages programs a ~$20 Million Dollar portfolio focused on broadening participation, research workforce development and inclusive innovation at the undergraduate, graduate, and postdoctoral levels - a great female,black role model for students to identify with. ","Dr. Iris R. Wagstaff is a chemist, educator, mentor, researcher and science policy advisor. She currently serves as a STEM Program Director in the Diversity, Equity, and Inclusion Department of AAAS. Discusses how diversity"
"Talks about how decolonising science has been prohibited under the belief that 'science is objective' - but how can science be objective when we live in a biased society? Gowers also discussses how she learned about DNA at university and scientific figures such as James Watson, but his racist ideology about White intelligence being higher than that of black people was omitted - she postulates: ""We need to think seriously about what these omissions say to students."" Gowers continues: ""it is conveniently omitted that most of the scientific progress made since the Enlightenment has been carried out in societies where black people were not even considered full human beings. Major medical innovations relied on experiments performed on slaves....[or women and black people who were considered second-class citizens by law]"". ",Gowers: How can science be objective when we live in a biased society? Discussses how she learned about DNA at university and scientific figures such as James Watson.
"Advocates for more diverse representation in medical illustrations, which is predominantly white: ""For patients, if they don't see themselves reflected in these materials, it can really create a sense of isolation and distrust in their health care provider."" The same can be said for students: a sense of isolation and distrust can be created if they are reflected in their course material. Students may feel this, but not really understand it - this article sheds light on this feeling for them. ","Advocates for more diverse representation in medical illustrations. ""For patients, if they don't see themselves reflected in these materials, it can really create a sense of isolation and distrust"""
"Forensic scientists of colour discuss how underrepresentation and bias in the field can lead to flawed findings and how diversity and inclusion can promote and inspire more minorities to pursue the field. This resource can help students understand the biases that exist in forensic science, and that identifying with others in the field can inspire them", Forensic scientists of colour discuss how underrepresentation and bias in the field can lead to flawed findings. How diversity and inclusion can promote and inspire more minorities to pursue the field. This resource can help students understand the biases that exist.
"This article explores the lack of diversity in the STEM fields and that forensic sciences that can limit the types of questions being asked in research. Society demographics are highly dynamic, so without diversity of ideas, perspectives and experiences the field stagnates and does not keep up with important issues that are relevant to society. Students who read this will understand their value as diverse individuals who represent the diversity of wider society and that they bring their unique background and experiences to the table for the betterment of forensic science, to cater to the dynamic and ever-evolving nature of society and its needs. ""Striving for a culture of diversity through inclusion in forensic anthropology helps to reflect the greater populations that we serve and encourages us to challenge our own assumptions and inherent biases that can complicate the analysis of skeletal remains in forensic casework. Diversity and inclusion initiatives should be substantial and well-supported, rather than merely token gestures to increase the number of minorities or underrepresented groups.""
","This article explores the lack of diversity in the STEM fields. Society demographics are highly dynamic, so without diversity of ideas, perspectives and experiences the field stagnates. Students who read this will understand their value as diverse individuals."
Describes how terminology is essential to create an inclusive space for all demographics in forensic athropology and how 'ancestry' as a descriptor has replaced 'race' with 'ethnicity' which may ignore certain groups. This is essential to student's fundamental understanding of forensic science in terms of classification and may also inform teaching styles and the importance of terminology,'ancestry' as a descriptor has replaced 'race' with 'ethnicity' which may ignore certain groups. Describes how terminology is essential to create an inclusive space for all demographics.
"Discusses how alternative forms of knowledge enrich fields of studies, teaches students that their non-eurocentric backgrounds and experiences are valuable to their field on study",Teaches students that their non-eurocentric backgrounds and experiences are valuable to their field. Discusses how alternative forms of knowledge enrich fields of studies.
"M'charek et al discuss the issue with DNA phenotyping as a weapon for dynamics of racism, in what they refer to as 'phenotype othering' (that is, making racial assumptions based on observable features). The article urges us to look at the multifacted nature of race as a fundamental part of scientific inquiry. This resource can help students understand the complications phenotying as a classification currently constitutes in forensic science, and how we need to understand the multifaceted nature and diversity within race that looks beyong observable characteristics of individuals when indentifying potential suspects.",M'charek et al discuss the issue with DNA phenotyping as a weapon for dynamics of racism. The article urges us to look at the multifacted nature of race as a fundamental part of scientific inquiry. This resource can
"Discusses the risks of DNA phenotyping, which predicts physical traits of a hypothetical suspect rather than identifying an actual one. This may “recapitulates the centuries-old racial categories of Caucasian, Mongoloid, and Negroid”. It is important for students to understand the risks of this method, and the racial profiling of suspects","DNA phenotyping predicts physical traits of a hypothetical suspect rather than identifying an actual one. It is important for students to understand the risks of this method, and the racial profiling of suspects."
Discusses how an image of a black male suspect was generated in relation to a sexual assualt crime from DNA phenotyping. Issawi warns us of the risks of phenotyping which can reflect societal discrimination against ethnic minorities and privacy concerns of this method. It is important that students understand that DNA phenotying may reflect bias and prejudicial notions within society.,Issawi warns us of the risks of phenotyping which can reflect societal discrimination against ethnic minorities and privacy concerns. Discusses how an image of a black male suspect was generated in relation to a sexual assualt crime from DNA phen
